Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,TaxonCode,Previously_Obs,Hour,Minute_Duration,Month_Num,Month,Temperature_Interval,Humidity_Interval,Season,Regional_PIF
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Male,Chipping Sparrow,Spizella passerina,179435.0,Unknown,CHSP,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,84781.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,Unknown,EABL,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,87184.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Male,Grasshopper Sparrow,Ammodramus savannarum,179333.0,Unknown,GRSP,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,83867.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Eastern Bluebird,Sialia sialis,179801.0,Unknown,EABL,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,87184.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Male,Field Sparrow,Spizella pusilla,179443.0,Unknown,FISP,False,True,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,84790.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,True | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,American Crow,Corvus brachyrhynchos,179731.0,Unknown,AMCR,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,87106.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,False,Undetermined,Eastern Kingbird,Tyrannus tyrannus,178279.0,Unknown,EAKI,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,True,85757.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,False,Male,Indigo Bunting,Passerina cyanea,179150.0,Unknown,INBU,False,True,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,94257.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,True | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,Unknown,NOCA,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,94228.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,Unknown,MODO,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,82737.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,False,Male,Eastern Towhee,Pipilo erythrophthalmus,179276.0,Unknown,EATO,False,True,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,83803.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,True | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Male,Song Sparrow,Melospiza melodia,179492.0,Unknown,SOSP,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,85643.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0054,Grassland,2018,2018-05-22,1900-01-01 05:35:00,1900-01-01 05:45:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Tree Swallow,Tachycineta bicolor,178431.0,Unknown,TRES,False,False,20.0,79.0,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,87391.0,False,5,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Male,Indigo Bunting,Passerina cyanea,179150.0,Unknown,INBU,False,True,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,94257.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,True | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,Unknown,NOCA,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,94228.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,Unknown,CARW,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,88350.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581.0,Unknown,CARW,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,88350.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Male,Blackpoll Warbler,Setophaga striata,950041.0,Unknown,BLPW,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,773819.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,False,Male,Brown-headed Cowbird,Molothrus ater,179112.0,Unknown,BHCO,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,94215.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Mourning Dove,Zenaida macroura,177125.0,Unknown,MODO,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,82737.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50 - 100 Meters,False,Undetermined,Brown-headed Cowbird,Molothrus ater,179112.0,Unknown,BHCO,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,94215.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,False,Undetermined,Baltimore Oriole,Icterus galbula,179083.0,Unknown,BAOR,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,93655.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,50 - 100 Meters,True,Undetermined,Fish Crow,Corvus ossifragus,179737.0,Unknown,FICR,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,87112.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,5 - 7.5 min,Calling,50 - 100 Meters,False,Undetermined,Great Crested Flycatcher,Myiarchus crinitus,178309.0,Unknown,GCFL,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,85791.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,<= 50 Meters,False,Undetermined,American Robin,Turdus migratorius,179759.0,Unknown,AMRO,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,87136.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50 - 100 Meters,True,Undetermined,Turkey Vulture,Cathartes aura,175265.0,Unknown,TUVU,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,79468.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,False,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124.0,Unknown,NOCA,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,True,94228.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,False,Undetermined,Eastern Kingbird,Tyrannus tyrannus,178279.0,Unknown,EAKI,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,85757.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
ANTI,Unknown,Unknown,ANTI-0028,Grassland,2018,2018-05-22,1900-01-01 06:56:00,1900-01-01 07:06:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,False,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,Unknown,RBWO,False,False,19.7999992370605,80.3000030517578,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,84865.0,False,6,10.0,5,May,"(18.89, 21.52]","(71.35, 80.5]",Summer,False | False
